word,sentence,sense,llm_annotation
ಅಡಿ,"ಐಪಿಸಿ ಸೆಕ್ಷೆನ್ 376(ಅತ್ಯಾಚಾರ), 506(ಬೆದರಿಕೆ), 341(ಅಕ್ರಮವಾಗಿ ಕೂಡಿ ಹಾಕುವುದು), 34 (ನಿರ್ದಿಷ್ಟ ಉದ್ದೇಶದ ಅಪರಾಧ) ಅಡಿ ಪ್ರಕರಣ ದಾಖಲಾಗಿತ್ತು.",1,1
ಅಡಿ,ಇಲ್ಲಿಗೆ ಹತ್ತಿರದಲ್ಲಿ ಸತುರಗಿರಿ ಬೆಟ್ಟವಿದೆ.ಇಲ್ಲಿ ಸಿದ್ಧ ದೇವರ ನಿವಾಸಸ್ಥಾನ ಕಾಣಬಹುದು.ಮಾಧವ ವಿಲಗಂ ವಿಧ್ಯಾನಾಥ ದೇವಸ್ಥಾನದಲ್ಲಿ ಆರು ಅಡಿ ಎತ್ತರದ ನಾಗರಾಜ ಚಿತ್ರಣವಿದೆ.ಈ ದೇವಸ್ಥಾನವು ಇದರದೇ ಆದ ಇತಿಹಾಸವನ್ನು ಹೊಂದಿದೆ.ಶ್ರೀವಿಲ್ಲಿಪುತೂರ್ ನಿಂದ 9 ಕಿ ಮೀ ಅಂತರದಲ್ಲಿ ಕೊತ್ತಳಗರ್ ಇರುವ ಕೊತ್ತಳಗರ್ ದೇವ ದೇವಾಲಯವಿದೆ.ಈ ದೇವಸ್ಥಾನ ಮಂತುಗ ಬೆಟ್ಟದಲ್ಲಿದೆ.ಈ ಸ್ಥಳದಲ್ಲಿ ವರ್ಷಪೂರ್ತಿ ತೀರ್ಥ ನೀರು ಹರಿಯುತ್ತಿರುತ್ತದೆ.,2,2
ಅಡಿ,ಒಂದ್ ಅಡಿ ಬಾಳೇದಿಂಡಿಂದ 3 ವೋಲ್ಟ್ ವಿದ್ಯುತ್ ತಯಾರಾಗುತ್ತೆ.,2,2
ಅಡಿ,ಕಲಂ : ೩೦೨ ರ ಅಡಿ ಕೊಲೆ ಅಪರಾಧಕ್ಕಾಗಿ ಜೀವಾವಧಿ ಶಿಕ್ಷೆ ವಿಧಿಸಿದ್ದಾರೆ.,1,1
ಅಡಿ,6.5 ಅಡಿ ಭೂಮಿ ಸಮಕಾರಕ 8 ಅಡಿ ಭೂಮಿ ಸಮಕಾರಕ,2,2
ಅಡಿ,"ಬೈಕೆಕುಪ್ಪೆ ಪೊಲೀಸ್ ಠಾಣೆಯಲ್ಲಿ ಐಪಿಸಿಯ 370ನೇ (ಮಾನವ ಕಳ್ಳಸಾಗಣೆ) ಮತ್ತು ಜೀತಕಾರ್ಮಿಕ ನಿರ್ಮೂಲನಾ ಕಾಯ್ದೆಯ ಸೆಕ್ಷನ್ 16, 17, ಮತ್ತು 18 ಅಡಿ ಈ ಪ್ರಕರಣ ದಾಖಲು ಮಾಡಲಾಗಿದೆ.",1,1
ಅಡಿ,ಅಲ್ಲಿಯ ರಾಮಮಂದಿರದ ಆವರಣದಲ್ಲಿ ಸುಮಾರು ೫೫ ಅಡಿ ಎತ್ತರದ ತಂಬೂರಿಯಾಕಾರದಲ್ಲಿರುವ ಸಪ್ತಸ್ವರ ದೇವತಾ ಧ್ಯಾನಮಂದಿರವನ್ನು ೨೦೦೮ರಲ್ಲಿ ಆರ್.ಕೆ.,2,2
ಅಡಿ,ಮರದ ಎತ್ತರ ೧೩೦ ಅಡಿ ಇದ್ದು ಗಗನ ಚುಂಬಿಯಾಗಿದೆ!!,2,2
ಅಡಿ,"ಗೋ ಗ್ರೀನ್ ಗ್ಲೋ ಗ್ರೀನ್ ವಾಹನದ ರೂಫ್ ಟಾಪ್ ಮೇಲೆಯೇ ಸುಧಾರಿತ ಮಾದರಿಯ ಮೊನೊ ಕ್ರ್ಟಿಷ್ಟಲಿನ್ ಸಿಲಿಕಾನ್ ಸೋಲಾರ್ ಪ್ಯಾನಲ್ ಬಳಕೆ ಮಾಡಿದ್ದು, ಇದು 5 ಅಡಿ ಉದ್ದ, 3 ಅಡಿ ಅಗಲ ವಿಸ್ತಾರವಾಗಿದೆ.",2,2
ಅಡಿ,ಗದಗಿನ ಭೀಷ್ಮ ಕೆರೆಯ ಮಧ್ಯದಲ್ಲಿ 116 ಅಡಿ ಎತ್ತರದಲ್ಲಿ ರಾರಾಜಿಸುತ್ತಿದೆ..,2,2
ಅಡಿ,"ಆರೆಂಟು ಅಡಿ ಜಾಗದಲ್ಲಿ 25–30 ಪುಟಾಣಿಗಳು ಕುಳಿತುಕೊಳ್ಳಬೇಕು, ಅಲ್ಲೇ ಮಕ್ಕಳ ಆಹಾರ ಸಿದ್ಧಪಡಿಸಬೇಕು, ಗರ್ಭಿಣಿಯರು, ಕಿಶೋರಿಯರಿಗೆ ನೀಡುವ ಆಹಾರ ಸಾಮಗ್ರಿಗಳನ್ನು ಇಷ್ಟೇ ಜಾಗದಲ್ಲಿ ಸಂಗ್ರಹಿಸಿಟ್ಟುಕೊಳ್ಳಬೇಕು.",2,2
ಅಡಿ,ಅಡಿ ಟಿಪ್ಪಣಿ:,1,1
ಅಡಿ,"1,200 ಅಡಿ ಎತ್ತರವಿರುವ ಮಧುಗಿರಿ ಬೆಟ್ಟವನ್ನು 15 ಕಾಲೇಜುಗಳ 1,853 ವಿದ್ಯಾರ್ಥಿಗಳು ಏಕಕಾಲಕ್ಕೆ ಹತ್ತಿ ‘ಇಂಡಿಯಾ ಬುಕ್ ಆಫ್ ರೆಕಾರ್ಡ್’ಗೆ ಸೇರ್ಪಡೆಯಾಗಿದ್ದಾರೆ.",2,2
ಅಡಿ,ಕಣ್ಮಣಿ ಪಾರಿಜಾತಟೆಲಿ ಎಂಟರ್‌ಟ್ರೆನರ್‍ಸ್ ಬ್ಯಾನರ್ ಅಡಿ ನಿರ್ಮಾಣವಾಗುತ್ತಿದೆ.,1,1
ಅಡಿ,ದೇಶದ ಹೆಮ್ಮೆಯ 75 ರೈಲ್ವೆ ನಿಲ್ದಾಣಗಳಲ್ಲಿ 100 ಅಡಿ ಎತ್ತರದಲ್ಲಿ ಬೃಹತ್‌ ತ್ರಿವರ್ಣ ಧ್ವಜ,2,2
ಅಡಿ,ಈ ತಜ್ಞರ ಸಮಿತಿಯು ಯುನಿವರ್ಸಿಟಿ ಗ್ರಾಂಟ್ ಕಮಿಷನ್ (ಯುಜಿಸಿ) ಅಡಿ ಕಾರ್ಯನಿರ್ವಹಿಸಲಿದೆ.,1,1
ಅಡಿ,ಸೊಸೈಟಿ ಕಾಯ್ದೆ ಅಡಿ ಈ ಒಕ್ಕೂಟ ನೋಂದಣಿಯಾಗಿದೆ.,1,1
ಅಡಿ,ಹದಿನೈದರಿಂದ ಹದಿನೆಂಟು ವರ್ಷದೊಳಗಿನ ಪತ್ನಿಯೊಂದಿಗೆ ಲೈಂಗಿಕ ಸಂಪರ್ಕ ಹೊಂದಿದರೆ ಐಪಿಸಿ ಅಡಿ ಶಿಕ್ಷಾರ್ಹ ಅಪರಾಧವಾಗುತ್ತದೆ.,1,1
ಅಡಿ,ಇಲ್ಲಿನ ೪೦*೬೦ ಅಡಿ (೨೪೦೦ ಚದರ ಅಡಿ ಅಥವಾ ೨೨೩ ಚದರ ಮೀಟರ್) ಪ್ರದೇಶದಲ್ಲಿ ಏನಿಲ್ಲವೆಂದರೂ ೨ ಲಕ್ಷದ ೨೩ ಸಾವಿರ ಲೀಟರ್ ನೀರನ್ನು ಸಂಗ್ರಹಿಸಬಹುದು.,1,2
ಅಡಿ,ಕಾಂಗ್ರೆಸ್‌ ಮುಖಂಡರಾದ ಮಲ್ಲಿಕಾರ್ಜುನ ಖರ್ಗೆ ಹಾಗೂ ಗುಲಾಮ್‌ ನಬಿ ಆಜಾದ್‌ ಅವರು ನಿಯಮ 193ರ ಅಡಿ ಚರ್ಚೆಗೆ ಸಿದ್ಧ ಎಂದು ಮೊದಲು ತಿಳಿಸಿದ್ದರು.,1,1
ಅಡಿ,ಭೂಮಿಯಿಂದ ಸುಮಾರು ಎರಡೂವರೆ ಸಾವಿರ ಅಡಿ ಎತ್ತರದಲ್ಲಿತ್ತು.,2,2
ಅಡಿ,ಮಹದಾಯಿ ನದಿ ಹಾಗೂ ಕಳಸಾ– ಬಂಡೂರಿ ನಾಲೆಗಳಿಂದ ಮಲಪ್ರಭಾ ನದಿಗೆ 7.56 ಟಿಎಂಸಿ ಅಡಿ ನೀರನ್ನು ತಿರುಗಿಸುವ ಮೂಲಕ ನೀರಾವರಿಗೆ ಬಳಸಿಕೊಳ್ಳುವುದು ಕರ್ನಾಟಕದ ಸಂಚು.,2,2
ಅಡಿ,ತಮ್ಮ ಗ್ಹೆಂಟ್ ಗುರುಗಳದ್ದು ಐನೂರಾತೊಂಬತ್ತೇಳು ಅಡಿ ಎತ್ತರದ ಲದ್ದಿ.,2,2
ಅಡಿ,ಕೆಐಎಎಲ್‌ ಬಳಿ 12 ಸಾವಿರ ಚದರ ಅಡಿ ಜಾಗ ಅಗತ್ಯವಿದೆ.,2,2
ಅಡಿ,"ಇವರು 2016 ಮಾರ್ಚ್‌ 23ರಂದು ಆರ್‌.ಪ್ರಭಾಕರ್‌ ಎಂಬವರಿಗೆ ಸೇರಿದ ಮೆದೆಹಳ್ಳಿ ಗ್ರಾಮದ ಜಮೀನಿನ ಪಂಪ್‌ಹೌಸ್‌ ಬೀಗ ಮುರಿದು, 10 ಅಡಿ ಉದ್ದದ, 2 ಇಂಚು ಸುತ್ತಳತೆಯ 2 ಕಬ್ಬಿಣದ ಹಳೆ ಪೈಪ್‌ ಕಳ್ಳತನ ಮಾಡಿಕೊಂಡು ಹೋಗುವಾಗ ಸಾರ್ವಜನಿಕರಿಗೆ ಸಿಕ್ಕಿಬಿದ್ದಿದ್ದರು.",2,2
ಅಡಿ,"ಹೀಗಾಗಿ ಸ್ವಂತ ಕಟ್ಟಡ ಇಲ್ಲದ ಅನೇಕ ಅಂಗನವಾಡಿಗಳು ಚಿಕ್ಕ ಜೋಪಡಿ, ಮನೆಯ ಜಗುಲಿ, ಅಂಗಡಿಗೆಂದು ನಿರ್ಮಿಸಿರುವ ಎಂಟು ಅಡಿ ವಿಸ್ತೀರ್ಣದ ಜಾಗಗಳಲ್ಲಿ ನಡೆಯುತ್ತಿವೆ.",2,2
ಅಡಿ,ನಗರದ ಮುಖ್ಯ ಭಾಗದಲ್ಲಿರುವ ಇದಕ್ಕೆ ೩೫ ಅಡಿ ಎತ್ತರದ ಭವ್ಯ ಕಮಾನು ಸ್ವಾಗತ ಕೋರುತ್ತದೆ.,2,2
ಅಡಿ,ಬೋರ್ ವೆಲ್ ಗೆ ಬಿದ್ದಿದ್ದ ಬಾಲಕ 30 ರಿಂದ 35 ಅಡಿ ಆಳದಲ್ಲಿ ಸಿಕ್ಕಿ ಬಿದ್ದಿದ್ದ.,2,2
ಅಡಿ,ಇಂತಹ ಪರಿಸ್ಥಿತಿಯಲ್ಲಿ ಸುಪ್ರೀಂಕೋರ್ಟ್ ಆದೇಶ ಪಾಲಿಸಿದರೆ ಐದು ಟಿಎಂಸಿ ಅಡಿ ನೀರು ಹರಿಯುತ್ತದೆ.,2,2
ಅಡಿ,ಸುಮಾರು ಏಳು ಸಾವಿರ ಬಾಳೆಹಣ್ಣಿನಿಂದ ತಯಾರಾಗಿರುವ 10 ಅಡಿ ಎತ್ತರದ ಗಣೇಶ Read more…,2,2
ಅಡಿ,ಸಾವಿರ ಅಡಿ ಉದ್ದದ ರನ್‌ವೇ ಇರುವ ಇಲ್ಲಿ ಎಂಥ ಬೃಹತ್ ಜಂಬೊ ಜೆಟ್ ವಿಮಾನವಾದರೂ ಇಳಿಯಬಹುದು.,2,2
ಅಡಿ,ಜೊತೆಗೆ ಒಂದೆಡೆ ಮಾಡುವ ಸಣ್ಣ ಸದ್ದು ಈ ಗ್ಯಾಲರಿಯ ಯಾವುದೇ ಭಾಗದಲ್ಲಿ ಅಂದರೆ ೧೨೫ ಅಡಿ ದೂರದಲ್ಲಿ ಸ್ಪಷ್ಟವಾಗಿ ಕೇಳುತ್ತದೆ.,2,2
ಅಡಿ,ನಿದ್ದೆ ಸಂದರ್ಭದಲ್ಲಿ ನಮ್ಮನ್ನು ಮೊಬೈಲ್‌ ಅನ್ನು ಕನಿಷ್ಠ 3 ಅಡಿ ಅಂತರವಿಟ್ಟು ಮಲಗುವುದು ಒಳ್ಳೆಯದು.,2,2
ಅಡಿ,(ಕರ್ನಾಟಕ ವಾರ್ತೆ): ಕೊಪ್ಪಳ ಯುವ ಸಬಲೀಕರಣ ಮತ್ತು ಕ್ರೀಡಾ ಇಲಾಖೆ ವತಿಯಿಂದ ಪ್ರಸಕ್ತ ಸಾಲಿನಲ್ಲಿ ಮುಂಬರುವ ವರ್ಷಗಳಲ್ಲಿ ಅಂತರರಾಷ್ಟ್ರೀಯ ಮಟ್ಟದಲ್ಲಿ ಗಣನೀಯ ಸಾಧನೆ ದಾಖಲಿಸುವ ಸಾಧ್ಯತೆ ಇರುವ ಕ್ರೀಡಾ ಪಟುಗಳಿಂದ ಕರ್ನಾಟಕ ಸ್ಪೋಟ್ರ್ಸ್ ಅಕಾಡೆಮಿ ಫಾರೆಕ್ಸ್‍ಲೆನ್ಸ್ ಯೋಜನೆ ಅಡಿ ಅರ್ಜಿ ಆಹ್ವಾನಿಸಲಾಗಿದೆ.,1,1
ಅಡಿ,"ಸಮುದ್ರ ಮಟ್ಟದಿಂದ ಸುಮಾರು 14,000 ಅಡಿ ಎತ್ತರದಲ್ಲಿರುವ ಪ್ರವಾಸಿ ಸ್ಥಳ `ಸೆಲಾ ಪಾಸ್’ ಹೆಸರು ಸೆಲಾಳ ನೆನಪಿನಲ್ಲಿ ಅಲ್ಲ ಎನ್ನುತ್ತಾರೆ.",2,2
ಅಡಿ,"ಸ್ವಚ್ಛತೆಯೇ ದೇವರು ಎಂದು ಟ್ವೀಟರ್‍ನಲ್ಲಿ ಬಣ್ಣಿಸಿರುವ 66 ವರ್ಷದ ತಲೈವಾ, ಸ್ವಚ್ಛ ಭಾರತ್ ಅಭಿಯಾನದ ಅಡಿ ಕೈಗೊಂಡಿರುವ ಈ ಯೋಜನೆಗೆ ಸಂಪೂರ್ಣ ಬೆಂಬಲ ನೀಡುವುದಾಗಿ ಹೇಳಿದ್ದಾರೆ.",1,1
ಅಡಿ,ಎಷ್ಟು ಅಡಿ ಎತ್ತರದಿಂದ ಅಂತ ಗೊತ್ತಾ.?,2,2
ಅಡಿ,"ಆದರೆ, 7 ಅಡಿ ಎತ್ತರ ಅಜಾನುಬಾಹು ಗ್ಲೆನ್ ಥಾಮಸ್ ಜಾಕಬ್ಸ್ ಅವರು ರಿಪಬ್ಲಿಕನ್ ಪಕ್ಷದ ರಾಜಕಾರಣಿ, ಕ್ರಿಸ್ಟಲ್ ಗೌನ್ಸ್ ಅವರ ಪತಿ, ಇಬ್ಬರು ಹೆಣ್ಣು ಮಕ್ಕಳ ತಂದೆ.",2,2
ಅಡಿ,ರಿಮ್‌ನ ಎತ್ತರ 10 ಅಡಿ 3–0 ಎನ್‌ಬಿಎ ಇರುವ ಹಾಗೆ,2,2
ಅಡಿ,"1964ರ ಭೂ ಕಂದಾಯ ಕಾಯ್ದೆ ಕಲಂ 136 (3) (ಭೂಸ್ವಾಮಿತ್ವದ ನೈಜತೆ) ಅಡಿ ವಿಚಾರಣೆ ನಡೆಸಲಾಗಿದ್ದು, ಅದರ ಪ್ರಕಾರ ಕ್ರಮ ಕೈಗೊಳ್ಳಲಾಗಿದೆ’ ಎಂದು ಆದೇಶದಲ್ಲಿ ತಿಳಿಸಲಾಗಿದೆ.",1,1
ಅಡಿ,ದಾವಣಗೆರೆ: ಕೇಂದ್ರ ಸರ್ಕಾರದ ನಿರ್ದೇಶನದಂತೆ 2017-18 ನೇ ಸಾಲಿನ ಬೆಂಬಲ ಬೆಲೆ ಯೋಜನೆ ಅಡಿ ಡಿ.,2,1
ಅಡಿ,ಪೆಟ್ರೋಲಿಯಂ ಉತ್ಪನ್ನ ಜಿಎಸ್ ಟಿ ಅಡಿ ತರಲು ಕೇಂದ್ರದಿಂದ ಓಲೈಕೆ!,1,1
ಅಡಿ,ನಾವು ನಿಂತ ಅತ್ಯುನ್ನತ ಕೇಂದ್ರವನ್ನು ಸರ್ವೇಕ್ಷಣಾ ಭೂಪಟ ಮುಖ್ ಹೆಡ್ (ಸಮುದ್ರ ಮಟ್ಟದಿಂದ ೬೨೦೭ ಅಡಿ ಅಥವಾ ೧೮೯೪ ಮೀಟರ್) ಎಂದೇ ಹೆಸರಿಸಿದೆ.,2,2
ಅಡಿ,ಮನೆ ಒಳಭಾಗಕ್ಕೆ ಕಾಲಿಡುತ್ತಿದ್ದಂತೆ ಆವರಣದ ಗೋಡೆಯಲ್ಲಿ 12 ಅಡಿ ಎತ್ತರದಲ್ಲಿ ನಿಂತ ಅದ್ಭುತ ಗಣೇಶನ ಮೂರ್ತಿ.,2,2
ಅಡಿ,-ಸ್ಥಳೀಯ ಮತ್ತು ವಿಶೇಷ ಕಾಯ್ದೆ ಅಡಿ ದಾಖಲಾದ ಪ್ರಕರಣಗಳು : ಇಲ್ಲ,1,1
ಅಡಿ,ಇನ್ನು ಇದರಲ್ಲಿ 132 ಅಡಿ ಅಗಲ ಮತ್ತು 550 ಅಡಿ ಉದ್ದದವರೆಗೆ ಯಾವುದೇ ಕಂಬಗಳನ್ನು ಹಾಕಲಾಗಿಲ್ಲ.,2,2
ಅಡಿ,ಗೌರಿಯವರ ಮನೆಯಲ್ಲಿದ್ದ ಸಿಸಿಟಿವಿ ದೃಶ್ಯಾವಳಿಯಲ್ಲಿ ಕಂಡುಬಂದಂತೆ ಶಂಕಿತ ಆರೋಪಿ ರಸ್ತೆಯ ಬಲ ಬದಿಯಿಂದ ಬಂದು ಎಡಬದಿಯಲ್ಲಿರುವ ಗೌರಿಯವರ ಮನೆ ಮುಂದೆ ಬರುವುದಕ್ಕಾಗಿ 10 ಅಡಿ ದೂರದಿಂದಲೇ ಯೂ ಟರ್ನ್ ತೆಗೆದುಕೊಂಡಿದ್ದಾನೆ.,2,2
ಅಡಿ,"ಗುರುವೊಬ್ಬನ ನಂಬಿಕೆ ಹೇಗೆ ಹುಸಿಯಾಗುತ್ತದೆ, ನಾಲಗೆ ಮೂರೇ ಅಂಗುಲವಿದ್ದರೂ,ಅದು ಆರು ಅಡಿ ಮನುಷ್ಯನನ್ನು ಹೇಗೆ ಕೊಲ್ಲುತ್ತದೆ ಎಂಬುದನ್ನು ಹೇಳುತ್ತೇನೆ ಕೇಳು.!",2,2
ಅಡಿ,ಮೈಸೂರು ರಸ್ತೆಯ ಪಕ್ಕದಲ್ಲೇ ಇರುವುದರಿಂದ ಇಲ್ಲಿ ಚದರ ಅಡಿ ಜಾಗಕ್ಕೆ ₹10 ಸಾವಿರ ಮೌಲ್ಯವಿದೆ.,2,2
ಅಡಿ,"ಕೆಲವು ವ್ಯಾಖ್ಯಾನಗಳು ಗಾತ್ರದಲ್ಲಿ ವ್ಯತ್ಯಾಸ ಮಾಡುವುದಿಲ್ಲ, ಮತ್ತು ಮಹಾ ಸರೋವರಗಳ ಮೇಲಿನ ೧೦೦೦ ಅಡಿ ಉದ್ದದ ಬೃಹತ್ ಸರಕುನೌಕೆಗಳನ್ನು ದೋಣಿಗಳೆಂದೇ ಕರೆಯಲಾಗುತ್ತದೆ.",2,2
ಅಡಿ,"ಅದಕ್ಕಾಗಿ 14,000 ಅಡಿ ಎತ್ತರದ ಹಿಮಾಲಯದಲ್ಲಿ 20 ದಿನಗಳನ್ನ ಕಳೆಯಬೇಕಾಗಿತ್ತು.",2,2
ಅಡಿ,"ಮಂಗಳೂರು: ಪರಿಭಾವಿತ (ಡೀಮ್ಡ್) ಅರಣ್ಯ, ಕುಮ್ಕಿ, ಗೋಮಾಳ ಮತ್ತು ಸಿಆರ್‌ಜೆಡ್‌ ವ್ಯಾಪ್ತಿಯಲ್ಲಿರುವ ಜಮೀನಿನಲ್ಲಿ ಮನೆ ಕಟ್ಟಿಕೊಂಡವರು 94ಸಿ ಮತ್ತು 94ಸಿಸಿ ಅಡಿ ಸಲ್ಲಿಸಿರುವ ಅರ್ಜಿಗಳನ್ನು ತಿರಸ್ಕರಿಸುವಂತೆ ಕಂದಾಯ ಸಚಿವ ಆರ್‌.ವಿ.ದೇಶಪಾಂಡೆ ಇತ್ತೀಚೆಗೆ ಸುತ್ತೋಲೆ ಹೊರಡಿಸಿದ್ದು, ತಕ್ಷಣ ಅದನ್ನು ವಾಪಸ್ ಪಡೆಯಬೇಕು ಎಂದು ವಿಧಾನ ಪರಿಷತ್‌ನ ವಿರೋಧ ಪಕ್ಷದ ನಾಯಕ ಕೋಟ ಶ್ರೀನಿವಾಸ ಪೂಜಾರಿ ಆಗ್ರಹಿಸಿದರು.",1,1
ಅಡಿ,"ನಿಮ್ಮ ಅಡಿ ಭುಜವನ್ನು ಅಗಲವಾಗಿರಿಸಿ, ಹೊಟ್ಟೆಯ ಸ್ನಾಯುಗಳನ್ನು ಬಿಗಿಗೊಳಿಸಿ ಮತ್ತು ನಿಮ್ಮ ಕಾಲುಗಳನ್ನು ಎತ್ತಿ ದೃಢವಾಗಿ ಸರಿಯಾದ ಭಂಗಿಯನ್ನೇ ಅನುಸರಿಸಿ.",1,2
ಅಡಿ,ಅಲ್ಲದೆ ಹೈದ್ರಾಬಾದ್-ಕರ್ನಾಟಕ ಪ್ರದೇಶದ ಜಿಲ್ಲೆಗಳಲ್ಲಿ 371(ಜೆ) ಅಡಿ 116 ಪಶು ವೈದ್ಯರನ್ನು ಕೂಡ ಶೀಘ್ರ ಭರ್ತಿ ಮಾಡಲಾಗುವುದು.,1,1
ಅಡಿ,ಗರಿಷ್ಠ 750 ಅಡಿ ಎತ್ತರದಿಂದ ಜಿಗಿದಿದ್ದೇನೆ.,2,2
ಅಡಿ,ಅಡಿ ಟಿಪ್ಪಣಿಗಳು,1,1
ಅಡಿ,4: ಈಜು ಬಾರದೇ ಇರುವವರನ್ನು 100ಕ್ಕೂ ಹೆಚ್ಚು ಅಡಿ ಎತ್ತರದಿಂದ ಧುಮುಕಿಸಿದ್ದು ಎಷ್ಟು ಸರಿ?,2,2
ಅಡಿ,ಆಯುಷ್ಮಾನ್ ಭಾರತ- ‌ಆರೋಗ್ಯ ಕರ್ನಾಟಕ ಯೋಜನೆ ಅಡಿ 5 ಲಕ್ಷದ ತನಕ ಅನುಕೂಲ,1,1
ಅಡಿ,ಸಮುದ್ರ ಮಟ್ಟದಿಂದ ಸುಮಾರು 5770 ಅಡಿ ಎತ್ತರ ದಲ್ಲಿರುವ ಮಣಿಕರಣ್ ಸುಂದರ ತಾಣ.,2,2
ಅಡಿ,ಇದರಿಂದ ಹೊರ ಬಂದಲ್ಲಿ ನೇರವಾಗಿ ಹದಿನೈದು ಅಡಿ ಕೆಳಗಿರುವ ಗಿಡಗಳ ಪೊದೆ ಸೇರಬೇಕಾದೀತು.,2,2
