           word  frequency
42      ಅನಾಮಿಕ       1012 yes
1172     ಲಿಖಿತ       3694 no
           word  frequency
208        ಒಲವು      10569 no
620       ನಮೂನೆ       1774 no
1068     ಮುದ್ರೆ       1180 no
610       ಧ್ವನಿ      14070 no
1480    ಸಾಕ್ಷ್ಯ       1614 no
1579       ಸ್ವರ       1706 no
533         ತೂಕ      16279 no
848       ಪ್ರಾಣ       8658 no
640        ನಿಕಟ       2162 no
975      ಭಿಕ್ಷೆ       1885 no
265        ಕಷ್ಟ      25918 no
1640       ಹೊಣೆ       6318 no
1518       ಸುಂಕ       1990 no
609        ಧ್ವಜ       3999 no
390         ಗಳು      39199 no
832   ಪ್ರವೃತ್ತಿ       2461 no
891         ಬಳಿ      76149 no
1230    ವಿಜ್ಞಾನ      29618 no
37       ಅಧ್ಯಯನ      25913 no
135      ಆರಾಧನೆ       3307 no
              word  frequency
1474         ಸಹವಾಸ       1155 no
1363        ಸಂಖ್ಯೆ      55206 no
169        ಉದಾಹರಣೆ       8706 no
1023            ಮಾ       6729 no
969           ಭಾರಿ      24263 no
504           ತರ್ಕ       2016 no
1185         ವದಂತಿ       1747 no
1426      ಸನ್ನಿವೇಶ       2652 no
1393        ಸಂಪಾದಕ       5161 no
406            ಗುಣ       8023 no
831         ಪ್ರವಾಹ       9239 no
983         ಭ್ರಷ್ಟ       2847 no
271           ಕಾಡು       6682 maybe
1560           ಸೌರ       2807 no
500             ತರ       3480 no
464             ಜಯ      18501 no
1254         ವಿವೇಕ       2191 no
732         ಪರಿವಾರ       2909 no
829         ಪ್ರವಚನ       1717 no
1523  ಸುಗ್ರೀವಾಜ್ಞೆ       2436 no
           word  frequency
375         ಗಡಿ      12224 no
1567      ಸ್ಥಿರ      13345 no
102      ಆಕರ್ಷಕ       7561 no
959       ಭರಾಟೆ       1388 no
78         ಅರ್ಥ      34285 no 
718        ಪದ್ಮ       1654 no
791    ಪ್ರಖ್ಯಾತ       3613 no
659      ನಿರ್ಣಯ       5808 no
678         ನೀಚ       1236 no
280     ಕಾರಾಗೃಹ       1136 no
1305        ಶತಕ       6312 no
1586  ಸ್ವಾಸ್ಥ್ಯ       3023 no
54        ಅನ್ವಯ       5032 no
1645       ಹೊರೆ       3492 no
305        ಕುಡಿ       1339 no
300        ಕೀಳು       1802 no
142        ಆವರಣ       2686 no
1349       ಶ್ರೀ     117085 no
1543       ಸೆಲೆ       1230 no
1076     ಮೂರ್ತಿ      11519 no
        word  frequency
706    ಪಟ್ಟು      11895 no
1605   ಹಲ್ಲೆ      23928 no
793   ಪ್ರಚಾರ      27164 no
1069  ಮುನಿಸು       1037 no
1341    ಶೈಲಿ       6355 no
299   ಕೀರ್ತಿ       7317 no
418   ಗೋಕರ್ಣ       1389 no
1437   ಸಮಸ್ತ       5216 no
1063   ಮುತ್ತ       1616 no
564      ದಾಸ       2925 no
188   ಉಳಿತಾಯ       5363 no
1365   ಸಂಗತಿ      13518 yes
539   ತೊಟ್ಟು       3810 no
1507  ಸಿಕ್ಕು       1217 no
1411   ಸಂಸಾರ       3973 no
597    ದ್ವೇಷ       3920 no
513      ತಾಳ       1168 no
1337   ಶುಲ್ಕ      11678 no
596    ದ್ವಾರ       1420 no
407   ಗುಬ್ಬಿ       2674 no
          word  frequency
389      ಗಲ್ಲು       2105 no
302       ಕುಂಭ       1803 no
1266       ವೀರ       4026 no
1103     ಮೌಲ್ಯ       9424 no
1384  ಸಂತ್ರಸ್ತ       1227 no
628     ನಾಗರಿಕ       9248 no
972       ಭಾವಿ       1393 no
1317    ಶಾಶ್ವತ       6903 no
233         ಕಣ       1752 yes
569     ದಿವಾಳಿ       1164 yes
58        ಅಪ್ಪ      16537 no
1529    ಸುಪಾರಿ       1124 yes
166      ಉತ್ಸವ       9242 no
815     ಪ್ರಧಾನ      34510 no
354     ಕ್ರಿಯೆ       4800 no
787     ಪ್ರಕಾಶ       4169 no
255     ಕಲ್ಯಾಣ      22307 maybe
1100      ಮೋಹಕ       1367 no
1031    ಮಾಧುರಿ       1211 no
503     ತರುವಾಯ       2966 no
          word  frequency
1379       ಸಂತ       4438 no
39     ಅಧ್ಯಾಪಕ       1118 no
600       ಧರಣಿ       5944 yes
445      ಚಿಂತೆ       7023 no
1608       ಹಸಿ       4412 yes
635        ನಾದ       1287 no
244        ಕರು       1045 no
1119      ಯೋನಿ       1582 no
1611  ಹಸ್ತಾಂತರ       1865 no
411       ಗೂಡು       2262 no
844     ಪ್ರಹಾರ       1291 no
1224     ವಿಕೋಪ       1728 no
531       ತುರಿ       1466 yes
1381     ಸಂತಾನ       1409 no
1149   ರಾಯಭಾರಿ       2198 no
1442     ಸಮಾಧಿ       3612 no
372       ಗಂಡು      10957 no
1430       ಸಭೆ      45317 no
50      ಅನುಮಾನ       8417 no
544       ದಂಧೆ       2019 no
         word  frequency
1651    ಹೋಬಳಿ       3495 no
570     ದಿವ್ಯ       3662 no 
528    ತುತ್ತು       1256 no
603   ಧಾರ್ಮಿಕ      21223 no
1373     ಸಂಚಯ       6147 no
1582   ಸ್ವರ್ಣ       1728 no
392      ಗಾಡಿ       3078 no
833    ಪ್ರವೇಶ      23094 no
664   ನಿರ್ಮಾಣ      41695 no
588      ದೊರೆ       2514 no
1201     ವಸಂತ       4736 no
497     ತನಿಖೆ      26970 no
1548     ಸೇವೆ      44150 no
382     ಗದ್ದಲ       2019 no
192       ಋತು       1318 no
1187   ವಯಸ್ಸು      10075 no
587       ದೈವ       3187 no
1479   ಸಾಕ್ಷಿ      10767 no
934     ಬೆಂಕಿ      20568 no
901      ಬಾಧೆ       1050 no
           word  frequency
560       ದಾಖಲೆ      27423 no
368        ಗಂಜಿ       1184 no
76          ಅರೆ       4333 no
1160         ರೈ      26061 no
541   ತ್ರೈಮಾಸಿಕ       1849 no
156       ಈಶ್ವರ       2915 no
431         ಘಟಕ      19968 no
1247    ವಿರುದ್ಧ     163350 no
387        ಗರ್ಭ       1575 no
1348     ಶ್ರಾವಣ       3586 no
1159       ರೇಖೆ       1298 no
1191       ವರುಷ       3009 yes
118         ಆದಿ       2672 no
753       ಪಾಲನೆ       2783 no
439    ಚಟುವಟಿಕೆ       7242 no
394       ಗಾತ್ರ      64006 no
1122       ರಂಗು       1576 no
1264    ವಿಸ್ತಾರ       1302 no
1603      ಹರಿವು       2021 no
194          ಎಡ       4086 no
         word  frequency
1104    ಯಂತ್ರ       8517 yes
471      ಜಾತಕ       1514 no
73       ಅರಳಿ       6125 no 
615       ನಗೆ       5553 no
361     ಕ್ಷೌರ       6742 no
1005     ಮನವಿ      41261 no
1557      ಸೌಧ       1119 no
186    ಉಲ್ಲಾಸ       1022 no
1248    ವಿರೋಧ      21316 no
1551   ಸೊಪ್ಪು       6473 no
11      ಅಕ್ಕಿ       9536 no
147     ಆಶ್ರಯ       4807 no
995       ಮಣಿ       1598 no
985      ಮಂಜು       9046 yes
827   ಪ್ರಯೋಜನ       6968 no
1380     ಸಂತಸ       6886 no
1033     ಮಾನಸ       3334 no
353   ಕ್ರಾಂತಿ       4833 no
1636   ಹೆಜ್ಜೆ      18927 no
520     ತೀರ್ಥ       3584 yes
          word  frequency
175     ಉದ್ಯಾನ       3510 no
744        ಪಶು       3129 no
498     ತಪಸ್ಸು       1448 no
1429    ಸಭಾಪತಿ       3567 no
1188        ವರ       3708 yes
479       ಜೋಗಿ       3382 no
1484      ಸಾಧನ       4684 no
239     ಕನ್ನಡಿ       4255 no
1610      ಹಸ್ತ       2717 no
903       ಬಾಯಿ      11677 no
301     ಕುಂಕುಮ       1465 no
529       ತುದಿ       1017 no
1276    ವೇದಿಕೆ      20552 no
1034     ಮಾನ್ಯ       6910 no
1435     ಸಮರ್ಥ       3859 no
46      ಅನುಕೂಲ       6199 no
425       ಗ್ರಹ       2248 yes
735   ಪರಿಷತ್ತು       4029 no
1513      ಸಿಹಿ      17846 no
396       ಗಾಳಿ       9346 no
           word  frequency
778        ಪೋಷಕ       2427 no
89        ಅವತಾರ       2098 no
869      ಬಡಾವಣೆ       3164 no
1527     ಸುದ್ದಿ     283048 no
937      ಬೆಣ್ಣೆ       2808 no
1606        ಹಳಿ       2359 no
401       ಗುಂಡು       6162 yes
714          ಪದ      10298 yes
519   ತಿಳಿವಳಿಕೆ       2150 no
93       ಅವಾಂತರ       1372 no
537         ತೈಲ      12423 no
1072     ಮುಳ್ಳು       1054 no
1630         ಹೂ       6024 no
111       ಆಜ್ಞೆ       1014 no
115        ಆತ್ಮ       6712 no
26          ಅಣಕ       2149 no
1204     ವಸ್ತ್ರ       1777 no
23          ಅಡಿ      20975 yes
120        ಆದೇಶ      25819 no
1323     ಶಿಕ್ಷಣ      82745 no
         word  frequency
702     ಪಕ್ಕಾ       6584 no
989    ಮಂತ್ರಿ      13370 no
772    ಪೂರೈಕೆ       6998 no
276    ಕಾಮಿನಿ       3467 no 
1589    ಹಕ್ಕು      29831 no
914      ಬಿಡಿ      19524 no
1020      ಮಹಾ      14303 no
112        ಆಟ      43497 yes
1350   ಶ್ರುತಿ      22802 no
1453    ಸರಕಾರ      37723 no
1304    ಶಕ್ತಿ      35171 no
1650    ಹೊಸತು       1423 no
198       ಎಲೆ       4487 yes
86    ಅಳವಡಿಕೆ       2621 no
756      ಪಿನ್       2357 no
1486   ಸಾಧಾರಣ       4167 no
1220   ವಾಹಿನಿ       5076 no
1609      ಹಸು       2005 no
1458   ಸರಾಸರಿ       6760 no
315       ಕೂಟ       3686 maybe
           word  frequency
94     ಅವ್ಯವಹಾರ       2118 no
634        ನಾಡು       8289 no
184       ಉಪ್ಪು      10393 no
605       ಧೋರಣೆ       3403 no
1449     ಸಮೃದ್ಧ       1994 no
1211        ವಾರ      26651 no
319        ಕೃತಿ       9853 no
15         ಅಗ್ಗ       1078 no
127        ಆಮಿಷ       2428 no 
877       ಬನ್ನಿ      21503 yes
1633  ಹೆಗ್ಗಳಿಕೆ       2680 no
835     ಪ್ರಶಾಂತ       2072 no
1288   ವ್ಯತ್ಯಾಸ       6273 no
421      ಗೋಷ್ಠಿ       1512 no
252         ಕಲಿ       2575 maybe
505         ತಲೆ      28102 no
584        ದೇವಿ       9054 no
1218     ವಾಸ್ತು       5871 no
483        ಠಾಣೆ      13288 no
1092      ಮೊದಲು      69716 no
         word  frequency
1111      ಯುಗ       2441 no
343     ಕೊರತೆ      15774 no
1124   ರಕ್ಷಣೆ      17765 no
7       ಅಂತ್ಯ       8753 no
1077      ಮೂಲ      33705 no
590       ದೋಷ       4660 no
1454     ಸರಕು       5618 maybe
371       ಗಂಡ      10044 maybe
1046    ಮಿತ್ರ       5160 no
240     ಕಮ್ಮಿ       5929 no
224     ಕಟ್ಟೆ       7279 no
249       ಕಲಂ       7540 no
1346     ಶ್ರಮ       5295 no
145   ಆಶ್ಚರ್ಯ       5489 no
88      ಅವಕಾಶ      64741 no
1559    ಸೌಮ್ಯ       2513 no
1515    ಸೀಮಂತ       4468 no 
182     ಉಪಹಾರ       2261 no
237       ಕನಕ       2181 no
1495  ಸಾಮಾನ್ಯ      44803 no
            word  frequency
1243      ವಿಪರೀತ       5166 no
1314        ಶಾಖೆ       2958 no
720           ಪರ      26725 no
1424       ಸನಾತನ       3548 no
1018         ಮಸಿ       1313 no
830      ಪ್ರವಾದಿ       3879 no
1281       ವೈದ್ಯ       7156 no
459         ಛಾಯೆ       1161 no
1165         ಲಘು       4159 no
453       ಚುರುಕು       1689 no
1641      ಹೊತ್ತು      20443 yes
685        ನೆರಳು       2680 no
304       ಕುಟುಂಬ      25673 no
807   ಪ್ರತಿಷ್ಠಿತ       7868 no 
1152  ರಾಷ್ಟ್ರಪತಿ      10808 no
191           ಋಣ       2202 no
21          ಅಜೇಯ       1647 no
170     ಉದ್ಘಾಟನೆ      12160 no
202      ಐಶ್ವರ್ಯ       4435 no
611         ನಂದಿ       2925 maybe
          word  frequency
1226     ವಿಚಾರ      32180 no
1408   ಸಂವಿಧಾನ       7920 no 
509   ತಾಂತ್ರಿಕ      20048 no
1536    ಸುಸ್ತು       1160 no
1290   ವ್ಯವಸಾಯ       1775 no
28      ಅತಂತ್ರ       4013 no
1293    ವ್ಯಾಪಕ       6593 no
1040      ಮಾಲೆ       2278 no
1279    ವೈಕುಂಠ       1125 no
898    ಬಾಂಧವ್ಯ       2973 no
1599        ಹರ       1452 no
881       ಬರಲು      13102 no 
429     ಗ್ರಾಹಕ       7748 no
523       ತುಂಟ       1896 no
97      ಅಸಾಧ್ಯ       4272 no
935      ಬೆಂಬಲ      37810 no
1584    ಸ್ವಾಮಿ      29390 no
282      ಕಾರ್ಯ      45158 no
1001      ಮಧ್ಯ      13268 no
667    ನಿಲುಗಡೆ       1588 no
             word  frequency
804       ಪ್ರತಿಮೆ       8694 no
1420         ಸಣ್ಣ      55977 no
128          ಆಮ್ಲ       1647 no
1514         ಸೀಟು       4086 no
1464      ಸವಲತ್ತು       1386 no
883           ಬರಿ       4499 no
1462  ಸರ್ವಾಧಿಕಾರಿ       1238 no
819        ಪ್ರಭಾವ      12821 no
1257    ವಿಶ್ರಾಂತಿ       5771 no
1537        ಸೂಕ್ತ      32741 no
559       ದಾಖಲಾತಿ       2775 no
895        ಬಹಿರಂಗ      10584 no
87           ಅಳಿಯ       2313 no
1626         ಹುಡಿ       1197 no
95           ಅಶೋಕ       5591 yes
1178          ಲೋಪ       1046 no
660      ನಿರ್ದೇಶಕ      52087 no
1233     ವಿದ್ಯಮಾನ       1875 no
139          ಆರ್ಯ       1929 no
227         ಕಡಿದು       2229 no
           word  frequency
866       ಬಂಧಿತ       2517 no
1390       ಸಂಧಿ       1185 yes
870       ಬಡ್ಡಿ       7861 no
1538    ಸೂಕ್ಷ್ಮ       8043 no
760       ಪುಣ್ಯ       4315 no
352        ಕ್ರಮ      49405 yes
1270      ವೃದ್ಧ       1403 no
1634     ಹೆಚ್ಚಳ      10840 no
1251      ವಿಲೀನ       1204 no
281        ಕಾರು      62005 no
1461  ಸರ್ವತೋಮುಖ       1044 no
1585    ಸ್ವಾರ್ಥ       1778 no
424       ಗ್ರಂಥ       3532 no
482        ಟೀಕೆ       5083 no
1598       ಹಬ್ಬ      19716 no
1029      ಮಾದರಿ      17540 no
311      ಕುರುಡು       1432 no
629      ನಾಚಿಕೆ       2670 no
573      ದುಡಿಮೆ       1085 no
1428     ಸನ್ಮಾನ       6940 no
          word  frequency
262        ಕವನ      20086 no
206      ಒತ್ತಡ      17918 no
992       ಮಟ್ಟ       7255 yes
672   ನಿವೃತ್ತಿ       6738 no
38    ಅಧ್ಯಾತ್ಮ       1076 no
1409      ಸಂಶಯ       3157 no
101     ಅಹಂಕಾರ       1646 no
1617     ಹಿಡಿತ       2824 no
1059     ಮುಖ್ಯ      84322 no
1259   ವಿಶ್ವಾಸ      13207 no
444       ಚಾರಣ       2330 no
1638      ಹೊಗೆ       2448 no
868      ಬಟ್ಟೆ      13398 no
888     ಬಲಿಷ್ಠ       3538 no
1056   ಮುಕ್ತಾಯ       2713 no
1064  ಮುತ್ತಿಗೆ       3055 no
908       ಬಾಳು       2045 no
764     ಪುರಾತನ       4810 no
1568   ಸ್ಥಿರತೆ       1199 no
1483      ಸಾಧಕ       1608 no
           word  frequency
103        ಆಕಾಶ       3186 no
1256      ವಿಶೇಷ     110894 no
1478    ಸಾಂತ್ವನ       2820 no
1236       ವಿಧಿ       4017 yes
1376     ಸಂಚಿಕೆ       9100 no
1573      ಸ್ಫೋಟ       5592 no
344        ಕೊಲೆ      23921 no
700         ಪಂಚ       3085 no
626         ನಾಗ       1688 no
1284    ವೈವಿಧ್ಯ       1549 no
294    ಕಿರಿಕಿರಿ       4245 no
1499  ಸಾರ್ವಜನಿಕ      36680 no
1541      ಸೂರ್ಯ      10620 no
1425      ಸನ್ನಿ       8260 no 
867         ಬಗೆ       8395 yes
124        ಆಪ್ತ       7015 no
1183        ವಚನ      18486 no
1214      ವಾಸನೆ       3389 no
199         ಎಳೆ       2003 yes
1520        ಸುಖ      10597 no
          word  frequency
889        ಬಲೆ       2164 no
729   ಪರಿಪೂರ್ಣ       3590 no
1277      ವೇಳೆ      89816 no
1262     ವಿಷಾದ       2234 no
1596     ಹಣ್ಣು      13629 no
286       ಕಾಲು      13681 no
516     ತಿನಿಸು       1403 no
1644     ಹೊರಗೆ      24427 no
803    ಪ್ರತಿಭೆ       6930 no
203     ಒಕ್ಕೂಟ       5979 no
1397     ಸಂಬಂಧ      40946 no
1130      ರತ್ನ       4884 no
1511    ಸಿಪ್ಪೆ       2002 no
540      ತ್ಯಾಗ       3821 no
0         ಅಂಕಣ       7203 no
1139     ರಸಾಯನ       1033 no
1154  ರಿಯಾಯಿತಿ       5978 no
320      ಕೃತ್ಯ       4942 no
468      ಜಾಗೃತ       1991 no
1217  ವಾಸ್ತವಿಕ       1205 no
             word  frequency
740        ಪರ್ಯಾಯ       8925 no
1485        ಸಾಧನೆ      26364 no
141            ಆಳ       1976 no
422          ಗೌರವ      23712 no
546          ದಕ್ಷ       1683 no
662       ನಿರ್ಬಂಧ       3751 no
1545       ಸೇತುವೆ       7595 no
53           ಅನ್ನ       7799 no
1169         ಲಹರಿ       2049 no
1344  ಶ್ರದ್ಧಾಂಜಲಿ       2214 no
887           ಬಲಿ      13175 no
765          ಪುರಿ       1857 no
434        ಘರ್ಷಣೆ       2338 no
491         ತಟ್ಟಿ       2025 no
85          ಅಲ್ಲು       1097 no
795       ಪ್ರಜ್ಞೆ       4115 no
902          ಬಾಬು      13310 no
481        ಜ್ಯೋತಿ       5568 no
810     ಪ್ರತ್ಯಕ್ಷ       3257 no
455        ಚೈತನ್ಯ       3347 no
           word  frequency
798    ಪ್ರತಿಕೂಲ       1462 no
932   ಬುದ್ಧಿವಂತ       2076 no
450     ಚಿಲ್ಲರೆ       3725 no 
1153       ರಾಹು       1060 no
13        ಅಕ್ಷರ      66587 yes
582      ದೃಷ್ಟಿ       7878 no
1574     ಸ್ಫೋಟಕ       2908 no
446      ಚಿಟಿಕೆ       1496 no
893       ಬಳ್ಳಿ       1509 no
713     ಪತ್ರಿಕೆ      19478 no
1342        ಶೋಧ       2976 no
924         ಬೀಗ       4860 no
572       ದುಗುಡ       1198 no
1414     ಸಂಹಿತೆ       5653 no 
1542     ಸೃಷ್ಟಿ       8309 no
1326      ಶಿಬಿರ       8850 no
775       ಪೂರ್ವ      26696 yes
489      ತಕರಾರು       1662 no
438       ಚಕಮಕಿ       3445 no
80         ಅರ್ಹ       6022 no
            word  frequency
29       ಅತ್ತಿಗೆ       1329 no
682         ನುಡಿ      13288 maybe
1016     ಮರ್ಯಾದೆ       2425 no
49        ಅನುಭವಿ       2176 no
447        ಚಿತ್ತ       3509 no
666   ನಿರ್ಲಕ್ಷ್ಯ       4065 no 
567        ದಿಟ್ಟ       3149 no
894          ಬಸವ       4245 yes
927         ಬೀದಿ       6935 no
1546     ಸೇರ್ಪಡೆ       8531 no
259          ಕಳೆ       2200 yes
574        ದುರಂತ      11953 no
306        ಕುಣಿತ       1900 no
293         ಕಿರಣ       1718 no
70           ಅಮರ       1440 no
632        ನಾಟ್ಯ       1066 no
517       ತಿರುವು       4542 no
680         ನೀರಸ       1539 no
66        ಅಭಿಮಾನ       3911 no
197        ಎಣಿಕೆ       5182 no
             word  frequency
400       ಗುಂಡಿಗೆ       1448
630          ನಾಟಕ      18412 no
287         ಕಾಳಜಿ      11297 no
1372       ಸಂಘರ್ಷ       3933 no
862        ಬಂಡವಾಳ      12000 yes
499       ತಯಾರಿಕೆ       2980 no
506          ತಳಮಳ       1247 no
1081         ಮೃದು       2154 no
824        ಪ್ರಯಾಣ      16590 no
1355         ಸಂಕಟ       3116 no
333         ಕೈಲಾಸ       1532 yes
410        ಗುರುತು       7668 no
19          ಅಚ್ಚು       1483 yes
1132         ರನ್ನ       2877 yes
734       ಪರಿಶ್ರಮ       2488 no
72           ಅಮ್ಮ      20392 no
329         ಕೇಸರಿ       3906 yes
799   ಪ್ರತಿಕ್ರಿಯೆ      28130 no
555         ದರ್ಶನ      25852 no
853         ಪ್ರಿಯ       3566 no
          word  frequency
836    ಪ್ರಶ್ನೆ      40912 no
1509     ಸಿದ್ಧ      10168 yes
1108      ಯತ್ನ      11165 no
841   ಪ್ರಸ್ತಾಪ       3153 no
665   ನಿರ್ಮಾಪಕ      11677 yes
643     ನಿಗ್ರಹ       2432 no
1469       ಸಸಿ       2264 no
768      ಪುಷ್ಪ       1978 no
996      ಮಣ್ಣು       7119 no
899       ಬಾಕಿ      15132 no
905        ಬಾಲ       5316 no
1095      ಮೋಜು       1383 no
121       ಆದ್ಯ       1119 no
108       ಆಘಾತ       4360 no
968      ಭಾರತಿ      13732 no
1179     ಲೌಕಿಕ       1070 no
1345   ಶ್ರದ್ಧೆ       2018 no
1043    ಮಾಹಿತಿ     163684 no
1615    ಹಿಟ್ಟು       3412 no
1517      ಸೀರೆ       6018 no
          word  frequency
1032       ಮಾನ       3223 no
277       ಕಾಯಕ       2698 no
879       ಬಯಲು       7658 yes
998      ಮದ್ದು       4055 yes
644        ನಿಜ      28420 no
676     ನಿಷ್ಠೆ       1628 no
278       ಕಾಯಿ       5367 maybe
1476      ಸಹಾಯ      40875 no
324      ಕೆಂಪು      16743 no
12       ಅಕ್ಷಯ       2008 no
966      ಭಾಗ್ಯ      10073 yes
730      ಪರಿಮಳ       1610 no
812   ಪ್ರದರ್ಶನ      32952 no
1261      ವಿಷಯ      46513 no
391      ಗಸ್ತು       1166 no
1358    ಸಂಕಿರಣ       2302 no
990      ಮಂದಿರ      10268 no
222        ಕಟು       1323 no
571      ದೀರ್ಘ       4314 no
1255     ವಿಶಾಲ       5143 no
            word  frequency
132         ಆಯೋಗ      13861 no
1575      ಸ್ಮರಣೆ       2190 no
621          ನಯನ       1322 no
1039     ಮಾಲಿನ್ಯ       5895 no
1316        ಶಾಲೆ      41136 no
1125        ರಗಳೆ       1117 no 
736        ಪರಿಸರ      26703 no
1385      ಸಂದರ್ಭ      12821 no
1196     ವರ್ತಮಾನ       1573 no
1280       ವೈದಿಕ       1766 no
1198        ವರ್ಷ     126379 yes
1583     ಸ್ವಾಧೀನ       1723 no
1252        ವಿವರ      20041 no
1075        ಮೂಗು       3688 no
994         ಮಡದಿ       1594 no
45      ಅನಿವಾರ್ಯ       6173 no
1275         ವೇದ       3416 y
767   ಪುರುಷೋತ್ತಮ       1406 no
1234      ವಿದ್ಯೆ       3048 no
266           ಕಸ       6389 no
           word  frequency
1028     ಮಾತ್ರೆ       2297 no
338         ಕೊಡ       1107 no
374       ಗಟ್ಟಿ       4615 no 
1544       ಸೇಡು       3261 no
614       ನಕ್ಷೆ       3896 no
1200         ವಶ       4341 no
668      ನಿಲುಮೆ       5069 no
136      ಆರಾಧ್ಯ       1541 no
261         ಕವಚ       3048 no
925         ಬೀಜ       5565 no
1161     ರೋಹಿಣಿ       4125 no
976       ಭಿನ್ನ       5615 no
861         ಬಂಟ       2071 y
385         ಗರಿ       1920 y
808   ಪ್ರತಿಷ್ಠೆ       1243 no
399       ಗುಂಡಿ       3051 y
796       ಪ್ರಣಯ       2056 no
257        ಕಳಂಕ       1201 no
677      ನಿಸರ್ಗ       2188 no
119      ಆದಿತ್ಯ       2375 no
         word  frequency
781   ಪೌಷ್ಟಿಕ       2040 no
1566   ಸ್ಥಿತಿ      21248 no
747     ಪಾತ್ರ      29250 no
116    ಆತ್ಮೀಯ       5286 no
82        ಅಲಿ       5850 no
1093     ಮೊರೆ       7486 no
381       ಗತಿ       4903 no
75       ಅರುಣ       1211 no
264     ಕವಿತೆ       9551 no
1534   ಸುಳಿವು       5876 no
1141      ರಾಗ       3069 no
1283  ವೈಮಾನಿಕ       1839 no
780   ಪೌರಾಣಿಕ       2889 no
750       ಪಾಪ       8024 no
1126     ರಚನೆ      15596 no
