word,sentence,label,kannada_meaning,english_meaning
ಯಜಮಾನ,ಊಟ ಮಾಡಿ ಮಲಗಿದ ಆ ಮನೆಯ ಯಜಮಾನ ಕನಸಿನಲ್ಲೂ ಸಾಹುಕಾರನಾಗುತ್ತೀನಿ ಎಂದುಕೊಂಡಿರಲಿಲ್ಲ.,4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,ಅವನು ಯಜಮಾನ ಹೇಳಿದ ಸುದ್ದಿಯನ್ನು ಕೇರಿಯಲ್ಲಿ ಸಾರುವುದು ಮತ್ತು ಬೇಕಾದವರನ್ನು ಕರೆದುಕೊಂಡು ಬರುವ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದನು.,4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,"ಇಂಥ ಅನ್ಯಾಯ ಅತಿರೇಕ ಸಂದರ್ಭದಲ್ಲಿ ಸ್ಥಳೀಯ ದುಡಿಯುವ ವರ್ಗಗಳಾದ ಕುರುಬ - ಅಂಬಿಗ - ಸಮಗಾರ - ಮಾದಿಗ - ಡೋಹರ - ಪಾಂಚಾಳ - ಅಗಸ - ಒಕ್ಕಲಿಗ ಮೊದಲಾದ ಸಮುದಾಯದ ಗಂಡು - ಹೆಣ್ಣುಗಳಲ್ಲಿ ಅಸ್ಮಿತೆಯನ್ನು ಜಾಗ್ರತಗೊಳಿಸಿ, ಉತ್ತರಭಾರತದ ಧಾರ್ಮಿಕ ಯಜಮಾನ ಸಂಸ್ಕೃತಿಯ ವಿರುದ್ಧ (ಮುಖ್ಯವಾಗಿ ವೈದಿಕ, ಶೈವಗಳ ವಿರುದ್ಧ) ಬಸವಣ್ಣ ಶರಣ ಚಳುವಳಿ ಹೂಡಿದನು.",2,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family
ಯಜಮಾನ,ಆದರೆ ಯಜಮಾನ ನಿರಂತರ ಸಮಸ್ಯೆಗಳನ್ನು ಎದುರಿಸುತ್ತಿದ್ದಾನೆ.,4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,"ಘಟನೆಯ ಬಗ್ಗೆ ಇಂಡಿಯನ್ ಎಕ್ಸ್‌ಪ್ರೆಸ್ ಪತ್ರಿಕೆ ಜೊತೆ ಮಾತನಾಡಿದ ಮನೆಯ ಯಜಮಾನ ಮುಹಮ್ಮದ್ ಸಾಜಿದ್, ನಾವು ನಮ್ಮ ಹಳ್ಳಿಗೆ ಅಥವಾ ದಿಲ್ಲಿಗೆ ತೆರಳಲು ಯೋಚಿಸುತ್ತಿದ್ದೇವೆ.",4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,ಮನೆಯ ಯಜಮಾನ ಹಸನ್ ಅವರು ಗಲ್ಫ್‌ನಲ್ಲಿದ್ದಾರೆ.,4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,ಈ ದೃಶ್ಯ ಕಂಡು ಕೆಂಡಾಮಂಡಲನಾದ ಕಾರಿನ ಯಜಮಾನ ರಂಗಾಯಣರಘು ಮೇಲೆ ಹೌಹಾರುತ್ತಾನೆ.,4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,"ಇಲ್ಲಿ ಎಸ್ಟೇಟ್ ಸಂಸ್ಕೃತಿ ಯಜಮಾನ ಸಂಸ್ಕೃತಿ, ಹೈಟೆಕ್ ಸಂಸ್ಕೃತಿ ಮುಂತಾದ ಮಾತುಗಳು ಬಂದವು.",4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,"ಕೆಲವೊಮ್ಮೆ ಯಜಮಾನ ಪುಸ್ತಕ ಓದಲು ಹಾಸಿಗೆಯ ಬರುತ್ತಾರೆ, ಆದರೆ ಕೆಲವು ಸಮಯದ ನಂತರ ಬೆಳಕಿನ ಆಫ್ ಮತ್ತು ಇತರ ಪ್ರದೇಶಗಳಲ್ಲಿ ಇದನ್ನು muffle ಒಂದು ಅಗತ್ಯವಿಲ್ಲ ಎಂದು ಅರಿವಾಗುತ್ತದೆ.",2,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family
ಯಜಮಾನ,"ಚಿತ್ರದಲ್ಲಿ ಯಜಮಾನ ಹಾಗೂ ವಾಹನ ಚಾಲಕನ ಸಂಬಂಧ ನಿತ್ಯ ಜೀವನದಲ್ಲಿ ಹೇಗಿರುತ್ತದೆ ಎಂದು ಪ್ರಸ್ತಾಪಿಸುತ್ತಾ, ಜೀವನದ ಅನೇಕ ಸ್ತರಗಳ ಪರಿಚಯ ಮಾಡಿ ಕೊಡಲಾಗುತ್ತಿದೆ.",4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,ವಸಾಹತೀಕರಣ ಅಧೀನ ಜನತೆಯನ್ನು ದುರ್ಬಲಗೊಳಿಸುವಂತೆಯೇ ಯಜಮಾನ – ಸಮಾಜವನ್ನೂ ದುರ್ಬಲಗೊಳಿಸುತ್ತದೆ.,4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,ಯಜಮಾನ ಚಿತ್ರ ಶುರುವಾದಾಗಿನಿಂದ ಚಿತ್ರದ ಪ್ರತಿ ಹಂತದಲ್ಲೂ ವಿ.,2,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family
ಯಜಮಾನ,ಚಾಲೆಂಜಿಂಗ್ ಸ್ಟಾರ್ ದರ್ಶನ್ ಅಭಿನಯದ ಯಜಮಾನ ಚಿತ್ರಕ್ಕೆ ರಶ್ಮಿಕಾ ಮಂದಣ್ಣ ನಾಯಕಿ.,4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,ಯಜಮಾನ ಚಿತ್ರ ಬಿಡುಗಡೆಗೆ ಸಿದ್ಧವಾಗಿದೆ.,4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,ಸಹಕಾರಿ ಸಂಘವು ಯಜಮಾನ ಕೊಡುವ ದರಕ್ಕಿಂತ ಹೆಚ್ಚಿನದರ ಕೊಡುವ ಪದ್ಧತಿ ಮುಂದುವರೆಯಬೇಕು.,4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,"ಹೇ ಕ್ಯಾಡ್ಬರೀಸ್ ಅನ್ನೋದ ಪದ ನಾನು ಮೊದಲು ಬಳಸಿದ್ದು ನವಗ್ರಹ ಚಿತ್ರದಲ್ಲಿ, ಈಗ ಮತ್ತೆ ಯಜಮಾನ ಚಿತ್ರದಲ್ಲಿ.",4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,"ತಗ್ಗುಬಿದ್ದ ರಸ್ತೆಗಳಲ್ಲಿ ಮನುಷ್ಯರೇ ಕಾರುಗಳನ್ನು ಓಡಿಸಲು ಕಷ್ಟಪಡಬೇಕಾದ ಇಂದಿನ ದಿನಗಳಲ್ಲಿ ಸಾಕು ನಾಯಿಯೊಂದು ಸಲೀಸಾಗಿ ಕಾರು ಓಡಿಸುತ್ತಿರುವ ವಿಡಿಯೋ ಒಂದು ಸಾಮಾಜಿಕ ಜಾಲತಾಣಗಳಲ್ಲಿ ಸಿಕ್ಕಾಪಟ್ಟೆ ವೈರಲ್ ಆಗಿದ್ದು, ತನ್ನ ಯಜಮಾನ ಜೊತೆ ಹಾಯ್ ಆಗಿ ಕಾರು ಓಡಿಸುತ್ತಿರುವ ನಾಯಿಗೆ ಫಿದಾ ಆಗದವರು ಯಾರಿದ್ದಾರೆ ಹೇಳಿ.",4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,ಈ ಬಗೆಯ ಪ್ಯಾನ್ ಕಾರ್ಡ್ ಗೆ ಅರ್ಜಿ ಸಲ್ಲಿಸುವವರು ಅಥವಾ ಕುಟುಂಬದ ಯಜಮಾನ ಎಲ್ಲ ದಾಖಲೆಗಳನ್ನು ನೀಡಬೇಕಾಗುತ್ತದೆ.,2,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family
ಯಜಮಾನ,": ನಗರ ಪ್ರತಿಷ್ಠಿತ ಬಡಾವಣೆಗಳಲ್ಲಿ ಗಣತಿದಾರು ಹೋದಾಗ ಬಹುತೇಕ ಮನೆಗಳಲ್ಲಿ ಮಹಿಳೆಯರು, ಮಕ್ಕಳು ಮಾತ್ರ ಇದ್ದು, ಮನೆಯ ಯಜಮಾನ ಇರುತ್ತಿರಲಿಲ್ಲ.",2,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family
ಯಜಮಾನ,"ಬೆಚ್ಚು ಕತೆಯ ಮೈಕುಸೆಟ್ಟಿನ ಯಜಮಾನ ತುಕಾರಾಮ ಮತ್ತು ಅವನ ಪ್ರೇಯಸಿ ವತ್ಸಲಾ ಇವರ ಗುಪ್ತ ಪ್ರಣಯ, ಊರಿಗಿಡೀ ಗೊತ್ತಾಗಿದ್ದರೂ ಅವರಿಗದು ಗೌಪ್ಯ, ಸಮುದ್ರ ಮತ್ತು ಸಾಂತಾದಲ್ಲಿ ಅಗತ್ಯವಿಲ್ಲದಿದ್ದರೂ ಊರ ವಿಷಯಗಳಲ್ಲಿ ತೊಡಗಿಸಿಕೊಳ್ಳುತ್ತಾ ತನ್ನ ಯಾತ್ರೆಯ ಮುಂದೆ ಹಾಕುತ್ತಾ ಇರುವ ಸಾಂತಾ ಮತ್ತು ನಿರೂಪಕನಲ್ಲಿ ಅವ ಉಂಟು ಮಾಡುವ ಭಾವಪಲ್ಲಟ, ಇಲ್ಲಿ ಸಮುದ್ರದ ಬದಿಯ ಹವೆ,ಪರಿಸರದ ವರ್ಣನೆ ಎಷ್ಟು ಸಹಜವಾಗಿ ಬಂದಿದೆ ಅಂದರೆ ಯಾವುದೋ ತೀರದಲ್ಲಿದ್ದ ಬೋಟಲ್ಲಿ ಕೂತು ಆ ಉಪ್ಪು ಗಾಳಿಯ ಎಳೆಯುತ್ತಾ ಇದನ್ನ ಓದ್ತಾ ಇದೀವೋ ಅನ್ನುವಷ್ಟು, ಹಾಗೇ ಗಂಜಿಗದ್ದೆಯ ಗೌರಜ್ಜಿಯ ಅಸಹಾಯಕತೆ, ದೊಡ್ಡವರ ನಡುವೆ ಕತೆಯ ನಿರೂಪಕ ಬಾಲಕ (ಇದು ಕೊಂಚ ಘಟಶ್ರಾದ್ಧವ ನೆನಪಿಸಿತು) , ಮುಖಾಂತರದ ಮಾತಿನಲ್ಲಿ ಬಣ್ಣಿಸಲಾಗದ ಗಣಪಯ್ಯ ಮತ್ತು ಉಪಾಧ್ಯಾಯರ ಸ್ನೇಹ ಮತ್ತು ಕತೆಯ ನಾಟಕೀಯ ಅಂತ್ಯ, ಆಕ್ರಮಣದ ಸರಿ ತಪ್ಪುಗಳ ನಡುವಿನ ತೆಳು ಗೆರೆ, ಇಳೆ ಎಂಬ ಕನಸುವಿನ ಭೂಮಿಯೊಡನೆ ಇರುವ ಸಂಬಂಧದ ಆಳ ಹೀಗೆ ಶ್ರೀಧರ ಬಳಗಾರರ ಕತೆಗಳ ವೈವಿಧ್ಯತೆ ದೊಡ್ಡದು.",4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,ನನ್ನ ಯಜಮಾನ ನನ್ನನ್ನು ರಾಣಿಯ ಹಾಗೆ ಇರಿಸಿದ್ದಾನೆ.,1,"ಗಂಡ, ಪತಿ, ಮದುವೆಯಾದವ, ಇನಿಯ",Husband
ಯಜಮಾನ,ಯಜಮಾನ ಹೇಳಿದ ಮೇಲೆ ಒಪ್ಪಲೇಬೇಕು ಅಲ್ಲವೇ ?,2,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family
ಯಜಮಾನ,"ಅವರನ್ನು ಈ ಕಡೆ ತಂದ ಯಜಮಾನ ಪಾರಂಪಳ್ಳಿ ಶ್ರೀಧರ ಹಂದೆ ಅವರೇ - ಬೇರೆ ಮೇಳ ಮಾಡಿದಾಗ, ಪ್ರತಿ ಆಕರ್ಷಣೆಯಾಗಿ ಚಿಟ್ಟಾಣಿಯನ್ನು ಕರೆತಂದರು!",4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,"ಆಗ ಕತ್ತೆಯು, ನನ್ನ ಯಜಮಾನ ಒಗೆದ ಮೂಟೆಗಟ್ಟಲೆ ಬಟ್ಟೆಯನ್ನು ನಾನು ನನ್ನ ಬೆನ್ನ ಮೇಲೆ ಹೊತ್ತುಕೊಂಡು ಪೇಟೆಗೆ ಹೋಗಬೇಕು.",4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,"ಎಂದೆಂದಿಗೂ ಯಜಮಾನ ಅಂದ್ರೆ, ಅದು ವಿಷ್ಣು ದಾದಾ ಮಾತ್ರ.",4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,"ನಿರ್ದೇಶಕ ನಾಗಣ್ಣ ಮಾತನಾಡಿ, ಇಡೀ ಸಿನಿಮಾದ ಹಿಂದಿರುವ ಯಜಮಾನ ಮುನಿರತ್ನ ಇಂಥ ಸಿನಿಮಾ ಮಾಡುವ ಅವಕಾಶ ನನಗೆ ಸಿಕ್ಕಿರುವುದು ನನ್ನ ಪೂರ್ವಜನ್ಮದ ಸುಕೃತ.",4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,ಯೋಜನೆಯಂತೆ ಜತ್ತಿಯವರು ಬಹಿರಂಗ ಸಭೆಯನ್ನು ಉದ್ದೇಶಿಸಿ ಮಾತನಾಡುವ ಹೊತ್ತಿಗೆ ಯಜಮಾನ ಶಾಂತರುದ್ರಪ್ಪ ಮತ್ತು ಎಲಿಗಾರ ತಿಮ್ಮಪ್ಪ ಮನವಿ ಸಲ್ಲಿಸಲು ವೇದಿಕೆ ಕಡೆ ಧಾವಿಸಿದರು.,2,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family
ಯಜಮಾನ,ಸುರೇಶ್ ನಿರ್ಮಾಣದ ಯಜಮಾನ ಚಿತ್ರ ಬಾಕ್ಸಾಫೀಸ್‍ನಲ್ಲಿ ದೂಳೆಬ್ಬಿಸುತ್ತಿದೆ.,4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,"ಹಾಗೆಂದು ವಿಸಾ ಕಾರ್ಡ್‌ನ ಹೆಡ್‌ಕ್ವಾರ್ಟರ್ಸ್ ಎಲ್ಲಿದೆ, ಯಾರು ಅದನ್ನು ಆರಂಭಿಸಿದರು, ಅದನ್ನು ನಿಯಂತ್ರಿಸುವವರು ಯಾರು, ಅದರ ಷೇರುಗಳನ್ನು ಖರೀದಿಸುವುದು ಎಲ್ಲಿ, ಅದರ ಯಜಮಾನ ಯಾರು ಅಂತ ಕೇಳಿ.",4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,"ಅದರಲ್ಲೂ ಈ ವರ್ಷ ಅಂದರೆ 2019 ರಲ್ಲಿ ದರ್ಶನ್ ಹೆಸರಿಲ್ಲಿರುವ ದಾಖಲೆಗಳಿಗೆ ಲೆಕ್ಕವಿಲ್ಲ ಯಜಮಾನ ಟೀಸರ್ ,ಟ್ರೇಲರ್ ಹಾಡಿನಿಂದ ಹಿಡಿದು ಸಿನಿಮಾ ಬಿಡುಗಡೆವರಗೂ ದರ್ಶನ್ ಮಾಡಿರುವುದೆಲ್ಲಾ ದಾಖಲೆಗಳೆ.",4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,ಇಷ್ಟಕ್ಕೆಲ್ಲಾ ಕಾರಣನಾದವನು ಅದೇ ಮನೆಯ ಯಜಮಾನ ಸೂರ್ಯನಾರಯಣ ಅಲ್ಸೆ.,4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,ಚಾಲೆಂಜಿಂಗ್ ಸ್ಟಾರ್ ದರ್ಶನ್ ನಟಿಸುತ್ತಿರುವ ಯಜಮಾನ ಚಿತ್ರಕ್ಕೆ ಬ್ರೇಕ್!,2,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family
ಯಜಮಾನ,ಯಜಮಾನ ಹಾಡುಗಳ ಮೂಲಕ ಸೌಡು ಜೊತೆ ಬ್ಯಾಂಡ್ ಕ್ರಿಯೇಟ್ ಮಾಡ್ತಿದ್ದು.,2,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family
ಯಜಮಾನ,"ನಿಯತಿಯ ಆಣತಿಗೆ ತಲೆಬಾಗುವ ನಂಬಿಕೆ ಇಲ್ಲದೆ ದೈವತ್ವದ ಕಲ್ಪನೆ ಉಳಿಯುವುದು ಸಾಧ್ಯವಿಲ್ಲವಾದಂತೆ, ಪಿತೃಭಕ್ತಿ ಇಲ್ಲದೆ ಪಿತೃಪ್ರಧಾನ ಕೌಟುಂಬಿಕೆ ವ್ಯವಸ್ಥೆ ಉಳಿಯುವುದು ಕಷ್ಟಸಾಧ್ಯ; ಭಾರತದಲ್ಲಿ ಇಂದಿಗೂ ಚಾಲತಿಯಲ್ಲಿರುವ ಹಿರಿಯ ಗಂಡು ಮಗ ಪ್ರಧಾನವಾದ ಯಜಮಾನ ಸಂಸ್ಕೃತಿಯ ಆಗಮನ ಕಾಲದ ಸಂಘರ್ಷವನ್ನು ರಾಮಾಯಣ ತನ್ನ ವಸ್ತುವನ್ನಾಗಿ ಆರಿಸಿಕೊಂಡಂತೆ ಕಾಣುತ್ತದೆ; ಅಥವಾ ಅದರ ಪ್ರತಿಫಲನವನ್ನು ಅಲ್ಲಿ ಕಾಣಬಹುದಾಗಿದೆ.",2,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family
ಯಜಮಾನ,"ಮನೆ ಯಜಮಾನ ಕೂಲಿ ಕೆಲಸ ಮಾಡಿಕೊಂಡು ಮಕ್ಕಳಿಗೆ ವಿದ್ಯಾಭ್ಯಾಸ ನೀಡುತ್ತಾ ತನ್ನ ಕುಟುಂಬವನ್ನು ಸಾಕುತ್ತಿದ್ದು, ಇದೀಗ ಪಟ್ಟಣ ಪಂಚಾಯತ್‌ನ ಈ ಕ್ರಮದಿಂದಾಗಿ ಇಡೀ ಕುಟುಂಬ ಬೀದಿ ಪಾಲಾಗಿದೆ ತಕ್ಷಣವೇ ಅವರಿಗೆ 2 ಲಕ್ಷ ರೂಪಾಯಿ ಪರಿಹಾರ ನೀಡಬೇಕು ಎಂದು ಅವರು ಆಗ್ರಹಿಸಿದರು.",4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,ಇನ್ನೋರ್ವ ಮುಖ್ಯ ಅತಿಥಿ ಐದು ಮೇಳಗಳ ಯಜಮಾನ ಪಿ.,2,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family
ಯಜಮಾನ,"ಸದ್ಯ ಯಜಮಾನ ಸಿನಿಮಾ ಶೂಟಿಂಗ್ ಮುಕ್ತಾಯದ ಹಂತದಲ್ಲಿದ್ದು, ಒಡೆಯ ಸಿನಿಮಾ ಶೂಟಿಂಗ್ ಸಹ ಶುರು ಮಾಡಿದ್ದಾರೆ.",4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,ಮನೆಯ ಯಜಮಾನ ಪಾಪ ತೀರಿಕೊಂಡಾಗ ಎರಡನೆಯ ಹೆಂಡತಿಯು ಕೊನೆಯ ದಿನದ ಕಲಾಪಕ್ಕೆ ಜನರನ್ನು ಕರೆದಿದ್ದರು.,2,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family
ಯಜಮಾನ,ಚಾಲೆಂಜಿಂಗ್ ಸ್ಟಾರ್ ದರ್ಶನ್ ಅಭಿನಯದ ಯಜಮಾನ ಚಿತ್ರದ ಬಗ್ಗೆ ಇರುವ ಕುತೂಹಲಕ್ಕೆ ತೆರೆ ಬಿದ್ದಿದೆ.,2,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family
ಯಜಮಾನ,ಮನೆಯ ಯಜಮಾನ ಪರಿಸ್ಥಿತಿ ಶೋಚನೀಯವಾಗಿದ್ದರೂ ಆತನಿಗೆ ತನ್ನ ಸ್ಥಿತಿ ಅರಿವಾಗುತ್ತಿಲ್ಲ.,2,ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,Head of the family
ಯಜಮಾನ,ಈ ತಂತ್ರಜ್ಞಾನದ ದೊಡ್ಡ ವಿಶೇಷತೆ ಎಂದರೆ ಇದರ ನೆರವಿನಿಂದ ಮನೆಯ ಯಜಮಾನ ತನ್ನ ಮನೆಯ ಜತೆಗೆ ಸಂವಹನ ನಡೆಸಬಹುದು.,4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,"ಹೀಗಿರುವಾಗ ಒಂದು ದಿನ ಹೊಲದ ಯಜಮಾನ ಮಗನೊಡನೆ ಹೊಕ್ಕೆ ಬಂದು ಪೈರು ಬಲಿತಿದೆ, ಕೊಯ್ಯಲು ಆಳುಗಳನ್ನು ಕಳುಹಿಸುವ ಎಂದುದನ್ನು ಕೇಳಿದ.",4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,"ಅಲ್ಲಿ ಆಕೆಗೆ ಕೆಲಸ ನೀಡಿದ ಯಜಮಾನ ಪದೇ ಪದೇ ತನ್ನ ಜೊತೆ ಲೈಂಗಿಕ ಕ್ರಿಯೆಯಲ್ಲಿ ತೊಡಗಿಕೊಳ್ಳುವಂತೆ ಒತ್ತಾಯಿಸುತ್ತಿದ್ದು, ಅದನ್ನು ಆಕೆ ತನ್ನ ಮೊಬೈಲ್ ನಲ್ಲಿ ಸೆರೆ ಹಿಡಿದು ಸಾಮಾಜಿಕ ಮಾಧ್ಯಮದಲ್ಲಿ ಹಂಚಿಕೊಂಡಿದ್ದಾಳೆ.",4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,ಲಕ್ಷ್ಮಿದೇವಿ ಸ್ವಲ್ಪ ಈ ನನ್ನ ಯಜಮಾನ ಆಗಿರೋ ….,1,"ಗಂಡ, ಪತಿ, ಮದುವೆಯಾದವ, ಇನಿಯ",Husband
ಯಜಮಾನ,ಬಳಿಕ ಯಜಮಾನ ಬಂದು ಮತ್ತೊಂದು ಕಾರಿನಲ್ಲಿ ಕುಳ್ಳಿರಿಸಿಕೊಂಡು ಮನೆಯಂತಹ ಮತ್ತೊಂದು ತಾಣಕ್ಕೆ ಕರೆದೊಯ್ದರು.,4,ಮಾಲೀಕ,Owner
ಯಜಮಾನ,ಮುಂಗಡ ನೇಕಾರ : ಈ ಪದ್ಧತಿಯಲ್ಲಿ ಇಲ್ಲಿಯೂ ಕೂಡ ಯಜಮಾನ ನೇಕಾರ ಅಥವಾ ಧಣಿಯ ಪಾತ್ರವೇ ಇರುತ್ತದೆ.,4,ಮಾಲೀಕ,Owner
